address,coin,side,direction,price,size,value_usd,closed_pnl,fee_usd,time_ms,is_liquidation,crossed,time,is_open,is_close,is_long,is_short
0x3eea372582e72f1d189ce02e7a65968015622a01,@4,A,Spot Dust Conversion,0.9547673,0.99616,0.951100993568,0.0,0.0,1768003200103,False,True,2026-01-10 00:00:00.103000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@254,A,Sell,0.14181,283.0,40.13223,0.0,0.01797923,1773114363911,False,True,2026-03-10 03:46:03.911000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@254,A,Sell,0.1418,141.42,20.053356,-0.00141404,0.0089839,1773114363911,False,True,2026-03-10 03:46:03.911000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@254,A,Sell,0.1418,3233.19,458.46634200000005,-0.03232865,0.20539292,1773114363911,False,True,2026-03-10 03:46:03.911000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@261,A,Sell,0.005949,2470.25,14.69551725,14.67081476,0.00822948,1773114379213,False,True,2026-03-10 03:46:19.213000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@206,A,Sell,0.10159,107.2,10.890448000000001,-16.043552,0.00609865,1773114387044,False,True,2026-03-10 03:46:27.044000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,A,Open Short,88.83,0.281,24.96123,0.0,0.001617,1773114428938,False,True,2026-03-10 03:47:08.938000+00:00,True,False,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,A,Open Short,88.765,9.695,860.576675,0.0,0.055765,1773114428938,False,True,2026-03-10 03:47:08.938000+00:00,True,False,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,A,Open Short,88.765,45.011,3995.4014150000003,0.0,0.258902,1773114428938,False,True,2026-03-10 03:47:08.938000+00:00,True,False,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,A,Open Short,88.725,14.542,1290.23895,0.0,0.083607,1773114428938,False,True,2026-03-10 03:47:08.938000+00:00,True,False,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,A,Open Short,88.67,3.203,284.01000999999997,0.0,0.018403,1773114428938,False,True,2026-03-10 03:47:08.938000+00:00,True,False,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,@107,A,Sell,34.512,7.23,249.52176000000003,64.99052392,0.13973218,1773114553891,False,True,2026-03-10 03:49:13.891000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@107,A,Sell,34.512,12.5,431.4,112.36259323,0.241584,1773114553891,False,True,2026-03-10 03:49:13.891000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@107,A,Sell,34.511,80.27,2770.19797,721.46735864,1.55131086,1773114553891,False,True,2026-03-10 03:49:13.891000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,xyz:GOLD,B,Open Long,5154.4,0.323,1664.8711999999998,0.0,1.198707,1773114662057,False,True,2026-03-10 03:51:02.057000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,xyz:GOLD,B,Open Long,5154.4,0.122,628.8367999999999,0.0,0.452762,1773114662057,False,True,2026-03-10 03:51:02.057000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@230,B,Buy,1.0001,1999.8,1999.9999799999998,0.0,0.22397759,1773114908877,False,True,2026-03-10 03:55:08.877000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@230,A,Sell,1.0,2000.0,2000.0,-0.40671829,0.224,1773115187107,False,True,2026-03-10 03:59:47.107000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@166,B,Buy,0.99997,2000.06,1999.9999982,0.0,0.22400671,1773115221652,False,True,2026-03-10 04:00:21.652000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.578,0.626,49.815828,0.0,0.003586,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.582,0.626,49.818332,0.0,0.003586,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.585,8.85,704.3272499999999,0.0,0.050711,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.586,0.626,49.820836,0.0,0.003587,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.59,0.626,49.82334,0.0,0.003587,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.594,0.626,49.825844,0.0,0.003587,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,cash:HOOD,B,Open Long,79.597,88.441,7039.638277,0.0,0.506853,1773115238107,False,True,2026-03-10 04:00:38.107000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.83,43.786,4020.86838,-134.729522,0.260552,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.844,2.276,209.03694399999998,-7.035116,0.013545,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.856,1.898,174.34268799999998,-5.889494,0.011297,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.907,4.751,436.65015700000004,-14.984654,0.028294,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.932,13.597,1249.999404,-43.224863,0.080999,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,flx:OIL,B,Close Short,91.933,6.424,590.5775920000001,-20.42832,0.038269,1773268764550,True,True,2026-03-11 22:39:24.550000+00:00,False,True,False,True
0x3eea372582e72f1d189ce02e7a65968015622a01,xyz:XYZ100,B,Open Long,24616.0,0.1155,2843.148,0.0,0.204706,1773334406411,False,True,2026-03-12 16:53:26.411000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,@230,A,Sell,0.99994,297.63,297.6121422,-0.05638281,0.03333255,1773602783758,False,True,2026-03-15 19:26:23.758000+00:00,False,False,False,False
0x3eea372582e72f1d189ce02e7a65968015622a01,xyz:GOLD,B,Open Long,4995.1,0.0504,251.75304000000003,0.0,0.181262,1773602822234,False,True,2026-03-15 19:27:02.234000+00:00,True,False,True,False
0x3eea372582e72f1d189ce02e7a65968015622a01,xyz:GOLD,B,Open Long,4995.1,0.1284,641.3708399999999,0.0,0.461787,1773602822234,False,True,2026-03-15 19:27:02.234000+00:00,True,False,True,False
