metric,top_tier_mean,top_tier_median,bottom_tier_mean,bottom_tier_median,difference,pct_difference,p_value,significant
total_fees_paid,629.7144,236.7109,1772.3523,448.1506,-1142.6379,-64.5,0.2609,False
trades_per_day,1385.9365,2000.0,928.8341,600.0,457.1024,49.2,0.2732,False
n_liquidations,4.0,0.0,0.3,0.0,3.7,1233.3,0.3062,False
avg_hold_hours,1.7351,0.0,36.192,0.0116,-34.4569,-95.2,0.3108,False
liquidation_rate,0.0639,0.0,0.0004,0.0,0.0635,14206.3,0.3532,False
sharpe,0.9887,0.0,0.1961,0.0,0.7926,404.3,0.425,False
profit_factor,7.8305,1.8487,33.9107,0.5757,-26.0802,-76.9,0.4531,False
n_assets_traded,12.0,4.0,24.5,5.5,-12.5,-51.0,0.4797,False
avg_trade_value,2622.63,1836.6627,3352.858,1370.7438,-730.2281,-21.8,0.6347,False
asset_hhi,0.5902,0.7472,0.5133,0.5328,0.0769,15.0,0.6355,False
long_pct,0.2858,0.123,0.2307,0.0017,0.0551,23.9,0.7189,False
win_rate,0.453,0.3942,0.4737,0.4426,-0.0207,-4.4,0.9065,False
max_drawdown,-0.2456,0.0,-0.276,0.0,0.0304,11.0,0.935,False
