address,display_name,account_value_usd,pnl_day,pnl_week,pnl_month,pnl_alltime,roi_day,roi_week,roi_month,roi_alltime,volume_day,volume_week,volume_month,rank,current_margin_usd,current_unrealized_pnl,n_open_positions,open_assets,max_leverage_open
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,80308982.432972,-64804.886633,-1743959.413693,1974738.638745,198160103.532972,-0.000778862,-0.0202561065,0.0218583218,1.9632120983,500769274.75,2269314499.67,10778864077.78,1,29967553.990171,0.0,86,"BTC,ETH,ATOM,SOL,AVAX,BNB,LTC,ARB,DOGE,INJ,SUI,kPEPE,CRV,LDO,LINK,STX,SNX,XRP,BCH,APT,AAVE,WLD,TRX,kSHIB,UNI,SEI,ZRO,TIA,ADA,TON,NEAR,PYTH,kBONK,JUP,WIF,ONDO,STRK,TAO,kFLOKI,ETHFI,ENA,POPCAT,EIGEN,TURBO,BLAST,GOAT,MOODENG,GRASS,PURR,PNUT,XLM,CHILLGUY,HYPE,ME,VIRTUAL,PENGU,USUAL,FARTCOIN,AIXBT,GRIFFAIN,SPX,MORPHO,TRUMP,MELANIA,VVV,BERA,TST,LAYER,IP,KAITO,PAXG,ZORA,SOPH,PUMP,YZY,XPL,WLFI,ASTER,AVNT,STBL,0G,2Z,ZEC,MON,MET,LIT",20.0
0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,17579865.839787,-353897.756907,-302936.49355,174186.507652,176321353.410499,-0.0197336022,-0.0169401019,0.0100074524,0.5453157944,13656147.11,14866931.57,39526944.87,2,5103516.495045,0.0,8,"BTC,ETH,SOL,SUI,XRP,HYPE,FARTCOIN,PUMP",20.0
0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,19659723.368083,-1623711.6879339998,-6296330.986128001,-4135541.390978,156701811.12808302,-0.0762895677,-0.2425756489,-0.1523862719,2.5377039037,21481905.189999998,41635673.51,211099358.10999998,3,15141633.516866,0.0,23,"BTC,ETH,SOL,AVAX,BNB,LTC,DOGE,kPEPE,XRP,WLD,ADA,WIF,ENA,POPCAT,GOAT,HYPE,PENGU,FARTCOIN,PUMP,XPL,LINEA,ASTER,XMR",20.0
0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,thank you jefef,7531150.003348,71821.42065,236973.424442,0.0,150862936.793348,0.0096284029,0.0324880296,0.0,35.0881561949,0.0,0.0,0.0,4,2656714.008618,0.0,0,,0.0
0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,,1769.416497,71.468151,265.715857,91.643188,144134956.266497,0.0420908864,0.1767079497,0.0546219132,7.5866427703,0.0,0.0,0.0,5,0.0,0.0,0,,0.0
0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,,431235917.538763,44200.08512,131025.701882,452789.601005,138585789.988763,0.0001025031,0.00030393,0.0010510468,0.2626379616,0.0,0.0,0.0,6,154686951.857888,0.0,0,,0.0
0x20c2d95a3dfdca9e9ad12794d5fa6fad99da44f5,,6242238.503965,-532480.2396760001,-1637472.53395,-1012201.5106739999,121616625.613965,-0.0785946547,-0.1882149998,-0.0985985539,1.0925785523,7833807.16,11461959.48,39245978.41,7,4515549.682612,0.0,1,ETH,25.0
0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,27382041.416242,-366496.97508,505442.506922,1494263.7055239999,121451437.339834,-0.0132077939,0.0188060442,0.057720818,0.8560598114,15474791.34,26658659.98,93955255.18,8,6507601.949035,0.0,10,"BTC,ETH,SOL,DOGE,XRP,HYPE,FARTCOIN,PUMP,WLFI,ASTER",20.0
0x880ac484a1743862989a441d6d867238c7aa311c,x35767,27267552.144503,361972.065152,1671475.758712,3502609.314544,113127662.614503,0.0132962837,0.0620787153,0.135849772,1.6377921243,5806999.69,41700479.33,157978759.07,9,5252085.546237,0.0,14,"BTC,ETH,SOL,LTC,DOGE,LINK,XRP,BCH,WIF,HYPE,PAXG,PUMP,XPL,XMR",12.0
0x2ea18c23f72a4b6172c55b411823cdc5335923f4,,2.574092,0.297576,0.52352,0.0,106341324.52,0.00297576,0.0052352,0.0,6.7335227018,0.0,0.0,0.0,10,0.0,0.0,0,,0.0
0xbde2ddc49a2e6827300faa6afc93d572114a60b1,,1.011052,0.002134,0.003877,0.00106,97508580.881052,2.134e-05,3.877e-05,1.06e-05,43.3280616202,0.0,0.0,0.0,11,0.0,0.0,0,,0.0
0x716bd8d3337972db99995dda5c4b34d954a61d95,,58364528.624855,2406739.21754,7674834.032007,12821827.565227,94313962.744855,0.0430099052,0.1514081727,0.2791699921,0.9798810789,0.0,0.0,0.0,12,0.0,0.0,0,,0.0
0xa312114b5795dff9b8db50474dd57701aa78ad1e,,5052166.553021999,143964.949723,114012.657025,30384.727085,93697358.053022,0.0293309094,0.0230876459,0.0026837403,3.2639209796,112826.82,4578222.47,62461231.96,13,973216.498482,0.0,4,"HYPE,ASTER,APEX,LIT",10.0
0x2e3d94f0562703b25c83308a05046ddaf9a8dd14,,1000000.296451,0.0,0.0,-11.503549,85206050.846451,0.0,0.0,-1.15034e-05,1.0805825104,0.0,0.0,1560.82,14,1000000.296451,0.0,0,,0.0
0x45d26f28196d226497130c4bac709d808fed4029,,22940983.934467,-648411.167745,-4353238.15835,-4615650.128387,79121530.234467,-0.0274874012,-0.1594930291,-0.1674968764,1.6789216762,2287362.97,14895993.86,23315277.0,15,13270183.071338,0.0,40,"BTC,ETH,ATOM,AVAX,OP,ARB,CRV,STX,TRX,kSHIB,UNI,SEI,ZRO,TIA,FIL,kBONK,ONDO,kFLOKI,ENA,POPCAT,BLAST,POL,GOAT,MOODENG,GRASS,PNUT,CHILLGUY,HYPE,VIRTUAL,PENGU,FARTCOIN,SPX,VINE,INIT,SYRUP,PUMP,XPL,APEX,2Z,LIT",20.0
0xd47587702a91731dc1089b5db0932cf820151a91,,42159932.879649006,-1770753.421006,-6360559.257325,-5918941.447678001,76873707.945595,-0.0403078934,-0.1264009743,-0.1432032115,0.7211218412,12401225.74,36496855.73,192364838.51,16,26135593.751602,0.0,18,"BTC,ETH,SOL,BNB,XRP,BCH,WLD,UNI,ENA,HYPE,FARTCOIN,XPL,WLFI,ASTER,ZEC,MON,LIT,DASH",20.0
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,,54232839.29793,1973984.107418,7623773.579853,11171102.941076,76195298.78793,0.0377731984,0.1627787704,0.2580655282,6.8603111015,0.0,1182515.49,2238877.81,17,11297.688278,0.0,1,VVV,3.0
0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,jefe,282416.419586,19450.821437,60133.856012,77644.633977,71805687.119586,0.0739671713,0.2705288937,0.3791764268,5.9577976977,0.0,0.0,0.0,18,0.2,0.0,0,,0.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,Auros,34357441.984749004,148055.197849,2413970.3457440003,5540105.232914,66098110.504749,0.0039364086,0.0675193452,0.1545231627,3.9212619316,43602469.68,384957026.33,2639262644.23,19,15245001.298103,0.0,157,"BTC,ETH,ATOM,DYDX,SOL,AVAX,BNB,APE,OP,LTC,ARB,DOGE,INJ,SUI,kPEPE,CRV,LDO,LINK,STX,CFX,GMX,SNX,XRP,BCH,APT,AAVE,COMP,WLD,YGG,TRX,kSHIB,UNI,SEI,RUNE,ZRO,DOT,BANANA,TRB,BIGTIME,KAS,BLUR,TIA,ADA,TON,MINA,PENDLE,FET,NEAR,MEME,ORDI,NEO,ZEN,FIL,PYTH,SUSHI,IMX,kBONK,GMT,JUP,kLUNC,GALA,JTO,MAV,WIF,CAKE,PEOPLE,ENS,ETC,XAI,UMA,ONDO,ALT,ZETA,DYM,W,STRK,TAO,AR,kFLOKI,BOME,ETHFI,ENA,MNT,TNSR,SAGA,HBAR,POPCAT,EIGEN,REZ,NOT,TURBO,BRETT,IO,ZK,BLAST,MEW,RENDER,POL,HMSTR,SCR,kNEIRO,MOODENG,GRASS,PNUT,XLM,SAND,IOTA,ALGO,HYPE,ME,MOVE,VIRTUAL,PENGU,FARTCOIN,AIXBT,BIO,SPX,S,MORPHO,TRUMP,MELANIA,ANIME,VINE,VVV,BERA,TST,IP,KAITO,NIL,PAXG,PROMPT,BABY,WCT,HYPER,ZORA,INIT,SOPH,RESOLV,PUMP,PROVE,YZY,XPL,WLFI,LINEA,ASTER,AVNT,STBL,0G,APEX,2Z,ZEC,MET,CC,AERO,STABLE,AXS,AZTEC",40.0
0x493db0ed7514c975e9abcc110bd40c473b6763e3,,54579652.63491,2708372.105214,8890512.531565,12340965.916716,64697561.21491,0.0522133265,0.1945869962,0.2921721028,248.077299232,0.0,0.0,0.0,20,0.0,0.0,0,,0.0
0x5d2f4460ac3514ada79f5d9838916e508ab39bb7,,5924612.703599,18175.585567,-84928.872398,-16191.525844,61479405.503599,0.0030772503,-0.0141323379,-0.0027254771,2.464577865,0.0,0.0,0.0,21,5482520.542453,0.0,0,,0.0
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,,19765213.277394,266587.519655,-436573.228643,-3868369.507822,60629555.397394,0.0136720483,-0.0216105178,-0.1636803377,2.3748135888,209082.95,6420311.12,122386689.51,22,3145054.183066,0.0,23,"BTC,ETH,AVAX,LTC,DOGE,SUI,kPEPE,CRV,LINK,XRP,APT,AAVE,kSHIB,DOT,ADA,TON,PENDLE,NEAR,FIL,STRK,GRASS,HYPE,PUMP",40.0
0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,,38545115.181416,1658468.987164,5839120.708081,8791910.537432,60319867.181416,0.0449612301,0.1785336542,0.2954943131,2.5697943405,0.0,0.0,0.0,23,0.0,0.0,0,,0.0
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,,61472373.332549,2039975.590987,8643212.458904,13331434.199517,59186194.112549,0.0343243024,0.1636068474,0.2769250962,25.8886939374,0.0,0.0,0.0,24,376957.565213,0.0,1,ETH,25.0
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,憨巴小龙,6561014.115853,-299578.480362,-1583853.615428,-2563688.96029,58503269.205853,-0.0436659238,-0.1944579362,-0.1414464449,13.9233924554,0.0,521159.18,21432110.36,25,2007634.525556,0.0,24,"BTC,ETH,SUI,kPEPE,LDO,LINK,XRP,AAVE,WLD,ADA,NEAR,kBONK,ENA,HBAR,POPCAT,HYPE,FARTCOIN,PUMP,WLFI,LINEA,AVNT,STBL,ZEC,MET",20.0
0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,,20869916.021201,-679149.349474,-1881259.859687,-221732.351659,56624419.901201,-0.0315164179,-0.0826884672,-0.0095344178,2.7941712552,1375567.27,5511430.4,39940626.68,26,20785015.196185,0.0,4,"BTC,ETH,FARTCOIN,PUMP",40.0
0x656c8da58d738295e03550796dd83900aa7c6525,,41121.79015,5849.691901,6684.008435,17451.695024,56137741.16015,0.1658447382,0.1940894013,0.7372887574,16.6708216694,0.0,0.0,0.0,27,0.005746,0.0,0,,0.0
0x0d446c3372a9ba9cddef0eef7a1afab6dc0e8c0b,,51718609.980491,0.012954,0.103792,0.0,51694218.450491,3e-10,2e-09,0.0,861.5703075082,0.0,0.0,0.0,28,0.0,0.0,0,,0.0
0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,,81379539.26126702,739918.5296530002,3020600.1450030007,7009856.712838002,51310086.220516026,0.0091755179,0.0376798636,0.0882568205,0.4419313125,1309754576.6100004,5881590294.9,29245271983.85999,29,73.150404,0.0,0,,0.0
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,,39457110.417129,1440355.464975,5615387.090472,8773842.613818,51045105.597129,0.0378873859,0.1659308847,0.2859487676,43.5018728174,0.0,0.0,0.0,30,247990.532038,0.0,0,,0.0
0x939f95036d2e7b6d7419ec072bf9d967352204d2,,44017770.170087,1469104.471699,6035828.234641,10636461.273921,50687849.100087,0.0322535128,0.1384937882,0.2687243442,4.3914358225,8479991.22,41919588.84,135097017.09,31,8862182.163477,0.0,4,"BTC,BNB,XRP,HYPE",40.0
0x7dacca323e44f168494c779bb5e7483c468ef410,,32553308.632369,1123137.589501,3985035.095948,6842672.414953,47980585.922368996,0.0357342636,0.1281383764,0.1630035857,4.3071168268,1086878.45,5775262.49,6189004.08,32,0.0,0.0,0,,0.0
0x03b9a189e2480d1e4c3007080b29f362282130fa,,41842513.431157,1898587.6215100002,5483164.328295999,8702023.116856,47490665.611157015,0.0475300136,0.1508002366,0.2538308897,12.7466018104,1424287.7,6092999.2299999995,24237216.06,33,1013244.614844,0.0,0,,0.0
