address,display_name,account_value_usd,pnl_day,pnl_week,pnl_month,pnl_alltime,roi_day,roi_week,roi_month,roi_alltime,volume_day,volume_week,volume_month,rank,vol_pnl_ratio,quality_score,current_margin_usd,current_unrealized_pnl,n_open_positions,open_assets,max_leverage_open
0x6cd68e8f04490cd1a5a21cc97cc8bc15b47dc9eb,jeff is king,4953705.354281,31841.839614,378723.195149,1169015.1078930001,6870534.884281,0.0064694682,0.0827813491,0.3088799959,12.8775022804,0.0,7728.99,21996.46,158,0.003201564415359478,0.7778738933514178,468.78017,0.0,0,,0.0
0xcccf42c120fa1a7ad953665500c1bd4f6307b34b,,1310193.572154,1026.921235,63775.52029,346935.987426,6708997.962154,0.0007844083,0.0454949893,0.3101370773,25.7558106633,0.0,183815.72,5224864.65,159,0.7787846530098659,0.7776263265212698,0.0,0.0,0,,0.0
0xd2055c67884ef085760f31c06300880e7f745acf,thx jefe,2024976.0699419999,0.0,154684.228567,556287.945882,4324786.149942,0.0,0.0827015149,0.3787394403,42.3691192129,0.0,0.0,59418.64,160,0.013739093203671322,0.7775977896117552,338.75387,0.0,0,,0.0
0xdae84fffb8090d2c4bbcac8e161e0034f3602d20,,4967942.234432,0.0,384270.21482,1357662.911815,4196016.624432,0.0,0.0838345792,0.376054812,5.4357714452,0.0,0.0,0.0,161,0.0,0.7768550989714872,0.0,0.0,0,,0.0
0xd2d818dfd6ff0f87cc7f3a516a396c1be20deba2,,3879913.308643,31344.903852,307574.964139,1083289.163637,3895453.728643,0.0081443503,0.0860966473,0.3873421573,1119.9335675412,0.0,0.0,0.0,162,0.0,0.776817751342266,0.004446,0.0,0,,0.0
0xe0d8fd312d7bd72d7de328923d7dcf08340c0f83,,2554.280088,95.526149,1347.653671,1297.949009,62748.940088,0.0388514473,1.1168773135,1.0331265625,16.3676535658,16839.33,72036.18,112543.78,163,1.7935566695177163,0.776626162126204,2295.006582,0.0,0,,0.0
0x80f0cd23da5bf3a0101110cfd0f89c8a69a1384d,,2519486.992413,29087.415342,232957.253098,804431.584765,2253626.992413,0.0116798186,0.1018824506,0.469041164,8.4767433702,0.0,0.0,0.0,164,0.0,0.7764016225591024,0.0,0.0,0,,0.0
0x7007c7c32cb120961c011c38f5aad2f0dbb05c73,,3295807.262676,0.0,263645.042865,914335.5479,3866063.962676,0.0,0.0869495178,0.3839371857,1644.9100249681,0.0,0.0,0.0,165,0.0,0.7763584387333909,943.367826,0.0,0,,0.0
0x3119a5bf3ce136b2ea82969a26e5f570c0319209,,3722194.186634,0.0,273594.503763,1024804.064731,5388790.446634,0.0,0.0793326557,0.3309134716,8.810751519,0.0,0.0,600131.61,166,0.11136666306533782,0.7762660870679973,0.0,0.0,0,,0.0
0x5ac99df645f3414876c816caa18b2d234024b487,,2462039.484489,27993.283905,251679.029182,788138.994478,2196107.024489,0.01150072,0.1138633423,0.4708398135,8.2581382675,0.0,0.0,0.0,167,0.0,0.7761758575226578,0.0,0.0,0,,0.0
