address,n_scored_trades,smart_money_score,grade,display_name,pnl_alltime,pnl_month,rank,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,smart_money_rank
0xab961d7c42bbcd454a54b342bd191a8f090219e6,868,1.4524,TIER_1,,2044500.76,2044502.667798,61,-1.8993,3.4465,4.0881,17.9073,7.7315,0.5372,0.001663,IMPROVING,"[4.072964366220982, 4.074644703093463, 4.076325707744298, 4.07800737130171, 4.079689684971545, 4.081372640036517, 4.0830562278554465, 4.084740439862507, 4.0864252675664865, 4.088110702550053]",1
0x4000e1793bef8327e069c2ebc093b32ce06b6633,65,1.3881,TIER_1,,4491480.587901,517617.34911,138,7.4958,3.3342,3.5568,21.7233,3.5568,1.3218,-0.618522,DETERIORATING,"[4.844285269290889, 4.696719641508383, 4.556702675786682, 4.423604117511591, 4.255946394915932, 4.1014818294037045, 3.9584338053588835, 3.81705587989285, 3.6781853972427068, 3.5568333411204636]",2
0xa6e2dc44418f5ad213c86db4dbb203a59d13c49f,25,1.3821,TIER_1,neet to $1,4876483.61808,900397.03432,78,2.4997,2.1733,1.5459,2.7952,1.5459,14.8043,0.016316,IMPROVING,"[1.3745526868036118, 1.3944881364370862, 1.4136115085953849, 1.4328364843316002, 1.4521027407274618, 1.4713643668517025, 1.4905862550232916, 1.5093425491133166, 1.5276405461676228, 1.5458726810241443]",3
0xc171aca4843aa4765e88ebf2b35d0808a623815d,247,1.2908,TIER_1,SamuraiTakedown,2076361.489725,51681.123816,128,0.3484,1.0961,1.1944,0.2145,2.0411,2.1166,-0.000864,DETERIORATING,"[1.2856499159758343, 1.2838156039017958, 1.2820214679066124, 1.2093599532580601, 1.2090340732882352, 1.2087273820942976, 1.2084394685597455, 1.2081699327368507, 1.207645332790613, 1.207141160714481]",4
0x3c363e96d22c056d748f199fb728fc80d70e461a,943,1.1358,TIER_1,,3082316.267757,775342.485724,174,0.2066,-0.1571,1.5496,3.1768,1.5496,0.6055,0.001069,IMPROVING,"[1.5403931827627872, 1.5414133765234648, 1.5424332723079937, 1.543452868111448, 1.5444721619578252, 1.5454911518996677, 1.5465098360177036, 1.5475282124204817, 1.548546279244015, 1.549564034651432]",5
0x36076e4bfad9624d7feba562326fdfa2063ede23,83,0.9201,TIER_1,,294446.006218,31529.335927,38,0.5985,0.2534,0.928,0.1527,0.9687,4.4873,0.005418,IMPROVING,"[1.0585066567160282, 1.0715776596262423, 1.084559701087673, 1.097448604716967, 1.1102413897532137, 1.1229360261809214, 1.1355312418826704, 1.0331588315796247, 1.011016798050195, 0.9570970848125736]",6
0x8a3cf3c4b300be69429cce5beb2ef14d7200b6b7,939,0.9186,TIER_1,,1638445.563927,400827.054983,88,0.115,-0.1568,0.2652,-0.4764,2.7594,-0.094,0.004527,IMPROVING,"[1.216336496878775, 1.220397527462032, 1.2244466825199785, 1.2284840387102662, 1.2325096727388134, 1.2365387845120068, 1.2405596932868885, 1.2445723425167885, 1.2485766803294094, 1.2525726592390072]",7
0x6a9edc73adbcfd02f58ee95b3cbf742973f641c2,766,0.8836,TIER_1,,3547861.073509,142838.17448,71,0.975,1.2195,1.2502,0.6685,1.2502,0.4028,-0.001837,DETERIORATING,"[1.2653518200272666, 1.2636416008986775, 1.2619368962626616, 1.2602400762459545, 1.2585486819541476, 1.2568626768034161, 1.2551796372157835, 1.253501928698137, 1.251831889579167, 1.2501694631720603]",8
0xcb6eeb25417d2cd5dfeb52b54f72c49f7490bea9,148,0.7829,TIER_1,vphill,502465.848395,1317.923142,107,-0.2497,0.0759,0.2558,0.6482,23.2234,0.0923,-0.829701,DETERIORATING,"[0.322838058401784, 0.31601619632864975, 0.3094327788448373, 0.3029572721042735, 0.29665261760138817, 0.2905220518005112, 0.28458264151513235, 0.27880990731847893, 0.2521696532022773, 0.22716565075861841]",9
0xcb58b8f5ec6d47985f0728465c25a08ef9ad2c7b,1156,0.7763,TIER_1,cat hot wallet,7611827.31171,1000358.313528,109,0.6603,0.4514,1.1042,1.5901,1.1042,-0.0941,0.000962,IMPROVING,"[1.0957870311613487, 1.0967304650967569, 1.0976731056797897, 1.098614954876793, 1.0995556202464023, 1.100495499117279, 1.1014345934273428, 1.1023729051066657, 1.103310436077518, 1.1042471882544103]",10
